X 	Y 	ScanIndex
1	0	0
0.9980267318	0.06279046656	0
0.9921147146	0.1253331283	0
0.9822872806	0.1873811582	0
0.9685832139	0.2486896815	0
0.9510565983	0.309016742	0
0.9297766031	0.3681242566	0
0.9048272106	0.4257789554	0
0.8763068846	0.481753302	0
0.8443281814	0.5358263917	0
0.8090173063	0.5877848229	0
0.7705136149	0.6374235399	0
0.7289690634	0.6845466417	0
0.6845476089	0.7289681551	0
0.6374245622	0.7705127692	0
0.5877858963	0.8090165265	0
0.5358275119	0.8443274705	0
0.4817544647	0.8763062454	0
0.4257801559	0.9048266457	0
0.3681254902	0.9297761147	0
0.3090180039	0.9510561883	0
0.2486909667	0.968582884	0
0.1873824615	0.9822870319	0
0.1253344446	0.9921145483	0
0.06279179074	0.9980266484	0
1.326794897e-06	1	0
-0.06278914239	0.9980268151	0
-0.1253318119	0.9921148809	0
-0.1873798549	0.9822875292	0
-0.2486883964	0.9685835439	0
-0.3090154801	0.9510570083	0
-0.368123023	0.9297770915	0
-0.4257777549	0.9048277756	0
-0.4817521394	0.8763075238	0
-0.5358252714	0.8443288924	0
-0.5877837495	0.8090180862	0
-0.6374225176	0.7705144606	0
-0.6845456745	0.7289699716	0
-0.7289672469	0.6845485761	0
-0.7705119234	0.6374255846	0
-0.8090157466	0.5877869697	0
-0.8443267596	0.5358286322	0
-0.8763056062	0.4817556274	0
-0.9048260808	0.4257813565	0
-0.9297756263	0.3681267239	0
-0.9510557783	0.3090192657	0
-0.968582554	0.2486922518	0
-0.9822867833	0.1873837648	0
-0.992114382	0.1253357609	0
-0.9980265651	0.06279311492	0
-1	2.653589793e-06	0
-0.9980268984	-0.06278781821	0
-0.9921150472	-0.1253304956	0
-0.9822877778	-0.1873785516	0
-0.9685838738	-0.2486871113	0
-0.9510574183	-0.3090142183	0
-0.92977758	-0.3681217894	0
-0.9048283405	-0.4257765544	0
-0.876308163	-0.4817509767	0
-0.8443296033	-0.5358241512	0
-0.8090188661	-0.5877826761	0
-0.7705153064	-0.6374214953	0
-0.7289708799	-0.6845447073	0
-0.6845495432	-0.7289663386	0
-0.6374266069	-0.7705110777	0
-0.5877880431	-0.8090149667	0
-0.5358297524	-0.8443260486	0
-0.4817567901	-0.876304967	0
-0.425782557	-0.9048255159	0
-0.3681279575	-0.9297751378	0
-0.3090205276	-0.9510553683	0
-0.2486935369	-0.968582224	0
-0.1873850681	-0.9822865347	0
-0.1253370773	-0.9921142157	0
-0.06279443909	-0.9980264818	0
-3.98038469e-06	-1	0
0.06278649403	-0.9980269817	0
0.1253291793	-0.9921152135	0
0.1873772483	-0.9822880264	0
0.2486858262	-0.9685842038	0
0.3090129564	-0.9510578283	0
0.3681205557	-0.9297780684	0
0.4257753539	-0.9048289054	0
0.481749814	-0.8763088021	0
0.5358230309	-0.8443303142	0
0.5877816027	-0.8090196459	0
0.637420473	-0.7705161521	0
0.6845437401	-0.7289717881	0
0.7289654304	-0.6845505104	0
0.770510232	-0.6374276292	0
0.8090141868	-0.5877891165	0
0.8443253377	-0.5358308727	0
0.8763043278	-0.4817579528	0
0.9048249509	-0.4257837575	0
0.9297746494	-0.3681291911	0
0.9510549583	-0.3090217894	0
0.9685818941	-0.248694822	0
0.9822862861	-0.1873863714	0
0.9921140494	-0.1253383936	0
0.9980263985	-0.06279576327	0
1	-5.307179587e-06	0
